"112年10月 1783 和康生           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","163,796","9,429,704","57.50","57.90","57.10","57.80","+0.70","189",
"112/10/03","103,438","5,934,319","57.90","57.90","57.00","57.00","-0.80","114",
"112/10/04","131,877","7,446,628","57.00","57.00","56.10","56.20","-0.80","156",
"112/10/05","60,745","3,439,507","56.90","57.00","56.40","56.40","+0.20","77",
"112/10/06","281,649","16,250,971","56.90","58.30","56.90","57.30","+0.90","279",
"112/10/11","1,199,492","62,643,632","55.00","55.00","51.60","51.70","-5.60","1,077",
"112/10/12","699,469","35,231,906","52.10","52.10","50.00","50.80","-0.90","719",
"112/10/13","447,788","22,399,730","51.00","51.00","49.75","49.85","-0.95","475",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
