"112年10月 3164 景岳             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","37,051","854,185","23.30","23.30","23.00","23.00","-0.05","264",
"112/10/03","129,524","2,979,724","23.00","23.00","22.95","23.00"," 0.00","241",
"112/10/04","102,838","2,360,288","22.95","22.95","22.95","22.95","-0.05","31",
"112/10/05","154,009","3,523,153","23.00","23.00","22.80","22.85","-0.10","442",
"112/10/06","138,729","3,165,696","23.00","23.00","22.80","22.80","-0.05","178",
"112/10/11","120,921","2,758,720","23.15","23.15","22.80","22.80"," 0.00","146",
"112/10/12","118,965","2,739,449","22.90","23.05","22.85","23.05","+0.25","42",
"112/10/13","93,947","2,161,304","23.10","23.10","23.00","23.00","-0.05","76",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
