"112年10月 4104 佳醫             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","110,138","9,811,483","89.20","89.30","88.80","89.10","-0.10","290",
"112/10/03","79,439","7,051,686","89.10","89.10","88.60","88.60","-0.50","255",
"112/10/04","168,196","14,829,224","88.60","88.60","87.90","88.00","-0.60","547",
"112/10/05","88,380","7,808,817","88.20","88.50","88.20","88.20","+0.20","223",
"112/10/06","209,018","18,425,781","88.70","88.70","87.80","88.10","-0.10","374",
"112/10/11","304,774","26,781,168","88.80","88.80","87.50","87.60","-0.50","691",
"112/10/12","686,117","59,305,575","87.50","87.50","85.60","86.50","-1.10","1,569",
"112/10/13","756,808","64,714,388","86.50","86.50","85.00","85.00","-1.50","1,935",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
