"112年10月 4106 雃博             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","145,333","4,002,326","27.60","27.70","27.40","27.65","+0.15","162",
"112/10/03","71,449","1,972,205","27.55","27.75","27.55","27.55","-0.10","73",
"112/10/04","75,927","2,086,910","27.50","27.55","27.40","27.50","-0.05","102",
"112/10/05","106,660","2,943,754","27.50","27.70","27.50","27.55","+0.05","126",
"112/10/06","83,105","2,294,804","27.60","27.70","27.55","27.60","+0.05","86",
"112/10/11","288,225","7,897,039","27.60","27.60","27.15","27.20","-0.40","297",
"112/10/12","69,613","1,903,819","27.20","27.50","27.20","27.50","+0.30","89",
"112/10/13","179,882","4,917,103","27.30","27.45","27.25","27.30","-0.20","409",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
