"112年10月 1414 東和             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","233,282","4,093,743","17.60","17.70","17.50","17.70","-0.05","116",
"112/10/03","175,258","3,072,440","17.55","17.65","17.50","17.55","-0.15","104",
"112/10/04","174,458","3,064,067","17.60","17.70","17.45","17.70","+0.15","78",
"112/10/05","159,042","2,787,303","17.70","17.70","17.50","17.50","-0.20","104",
"112/10/06","128,058","2,242,903","17.50","17.65","17.45","17.45","-0.05","86",
"112/10/11","93,526","1,636,474","17.45","17.70","17.45","17.50","+0.05","69",
"112/10/12","47,622","835,709","17.45","17.70","17.45","17.60","+0.10","49",
"112/10/13","273,017","4,760,487","17.50","17.70","17.40","17.40","-0.20","143",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
