"112年10月 1446 宏和             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","146,316","5,622,574","38.90","38.90","38.20","38.40","-0.35","129",
"112/10/03","169,400","6,424,450","38.10","38.15","37.80","37.80","-0.60","155",
"112/10/04","175,100","6,557,110","37.80","37.80","37.10","37.55","-0.25","108",
"112/10/05","90,000","3,413,850","37.70","38.15","37.70","37.70","+0.15","65",
"112/10/06","50,505","1,903,712","37.80","37.80","37.50","37.80","+0.10","37",
"112/10/11","86,323","3,233,588","37.80","37.80","37.30","37.45","-0.35","69",
"112/10/12","87,040","3,257,546","37.40","37.70","37.15","37.40","-0.05","58",
"112/10/13","22,518","843,455","37.60","37.60","37.40","37.40"," 0.00","25",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
