"112年10月 1457 宜進             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","71,248","1,251,779","17.60","17.70","17.50","17.70","+0.05","75",
"112/10/03","34,326","603,365","17.60","17.60","17.55","17.55","-0.15","32",
"112/10/04","58,197","1,015,886","17.50","17.50","17.45","17.50","-0.05","43",
"112/10/05","46,174","806,625","17.55","17.55","17.35","17.50"," 0.00","51",
"112/10/06","56,549","993,813","17.65","17.65","17.50","17.50"," 0.00","36",
"112/10/11","109,090","1,908,610","17.50","17.65","17.40","17.45","-0.05","97",
"112/10/12","74,025","1,297,296","17.45","17.70","17.45","17.50","+0.05","52",
"112/10/13","72,351","1,268,773","17.40","17.65","17.40","17.60","+0.10","47",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
