"112年10月 1463 強盛             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","87,310","1,367,800","15.60","15.75","15.60","15.75","+0.15","42",
"112/10/03","147,550","2,307,499","15.65","15.75","15.55","15.60","-0.15","57",
"112/10/04","139,946","2,174,599","15.55","15.60","15.50","15.50","-0.10","81",
"112/10/05","99,927","1,545,384","15.50","15.60","15.40","15.40","-0.10","73",
"112/10/06","129,517","1,996,338","15.40","15.55","15.40","15.50","+0.10","55",
"112/10/11","77,393","1,198,034","15.40","15.55","15.40","15.50"," 0.00","47",
"112/10/12","141,880","2,186,730","15.45","15.50","15.35","15.50"," 0.00","68",
"112/10/13","42,636","656,907","15.40","15.45","15.40","15.45","-0.05","42",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
