"112年10月 1464 得力             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","80,833","1,096,667","13.50","13.65","13.50","13.60","+0.10","249",
"112/10/03","191,846","2,594,966","13.55","13.55","13.45","13.55","-0.05","397",
"112/10/04","116,579","1,573,032","13.55","13.55","13.45","13.50","-0.05","437",
"112/10/05","55,073","746,524","13.55","13.60","13.50","13.55","+0.05","203",
"112/10/06","30,727","415,950","13.55","13.55","13.50","13.55"," 0.00","160",
"112/10/11","200,385","2,723,746","13.50","13.70","13.50","13.55"," 0.00","217",
"112/10/12","97,171","1,316,666","13.55","13.60","13.50","13.60","+0.05","194",
"112/10/13","30,090","407,015","13.50","13.55","13.50","13.50","-0.10","133",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
