"112年10月 2612 中航             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,241,071","54,285,449","45.00","45.10","43.20","43.35","-1.65","910",
"112/10/03","795,699","34,690,093","43.60","44.20","43.15","43.25","-0.10","580",
"112/10/04","991,222","43,134,045","43.20","44.20","43.10","43.25"," 0.00","697",
"112/10/05","628,378","27,344,594","43.30","43.95","43.30","43.35","+0.10","430",
"112/10/06","2,265,832","101,539,062","44.30","45.40","44.10","45.00","+1.65","1,515",
"112/10/11","1,046,853","46,535,001","45.80","45.80","43.90","44.05","-0.95","845",
"112/10/12","542,312","23,798,625","43.70","44.20","43.65","44.20","+0.15","382",
"112/10/13","775,420","34,220,281","44.20","44.80","43.55","43.55","-0.65","593",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
