"112年10月 2636 台驊投控         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,871,384","139,727,839","77.10","77.50","73.80","74.20","-2.80","2,003",
"112/10/03","1,961,842","147,460,104","74.20","75.90","74.10","74.90","+0.70","696",
"112/10/04","2,684,620","200,787,926","74.60","76.80","73.50","76.40","+1.50","1,463",
"112/10/05","1,669,245","128,475,399","76.00","77.80","76.00","76.90","+0.50","1,067",
"112/10/06","438,610","34,197,946","77.20","78.40","77.20","77.90","+1.00","521",
"112/10/11","1,619,191","120,923,142","78.10","78.10","73.30","73.30","-4.60","1,608",
"112/10/12","1,339,809","96,238,197","73.40","73.50","71.00","72.10","-1.20","1,230",
"112/10/13","699,812","50,065,331","72.20","72.80","71.10","71.10","-1.00","723",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
