"112年10月 5607 遠雄港           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,553,177","80,988,629","50.90","53.20","50.90","52.50","+2.20","1,165",
"112/10/03","2,425,770","128,987,359","54.00","54.20","52.50","53.00","+0.50","1,811",
"112/10/04","886,541","46,838,979","52.50","53.40","52.00","53.00"," 0.00","747",
"112/10/05","833,951","44,550,438","53.60","54.00","52.80","52.90","-0.10","771",
"112/10/06","883,071","46,237,585","53.10","53.20","51.90","52.50","-0.40","724",
"112/10/11","658,517","34,181,247","53.00","53.00","51.50","51.90","-0.60","611",
"112/10/12","409,882","21,314,426","51.90","52.60","51.70","52.00","+0.10","332",
"112/10/13","578,065","30,097,007","52.10","52.70","51.30","51.70","-0.30","498",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
