"112年10月 2722 夏都             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","84,420","4,178,279","50.20","50.20","49.15","49.35","-1.15","143",
"112/10/03","217,968","10,512,788","49.15","49.20","47.50","47.50","-1.85","312",
"112/10/04","141,277","6,589,785","47.45","47.45","45.75","47.10","-0.40","200",
"112/10/05","154,489","7,450,655","48.15","49.00","47.70","48.00","+0.90","317",
"112/10/06","34,946","1,668,995","47.60","48.10","47.55","47.70","-0.30","118",
"112/10/11","115,952","5,396,516","47.70","47.75","46.10","46.30","-1.40","128",
"112/10/12","62,387","2,893,920","45.60","47.20","45.60","46.35","+0.05","82",
"112/10/13","429,089","20,113,083","46.90","48.70","45.30","45.30","-1.05","432",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
