"112年10月 2723 美食-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","380,953","41,147,983","106.00","109.00","106.00","108.50","+3.00","375",
"112/10/03","330,322","35,425,145","109.00","109.00","106.50","106.50","-2.00","335",
"112/10/04","425,717","44,680,212","106.50","107.00","104.00","104.50","-2.00","527",
"112/10/05","415,403","43,900,356","105.00","106.50","104.50","105.00","+0.50","438",
"112/10/06","456,392","47,904,874","106.50","106.50","104.00","104.00","-1.00","477",
"112/10/11","526,231","54,107,912","105.00","105.00","102.00","102.50","-1.50","684",
"112/10/12","214,771","22,182,469","103.50","104.00","102.00","103.50","+1.00","257",
"112/10/13","414,078","42,568,735","103.00","104.00","102.00","102.00","-1.50","470",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
