"112年10月 2753 八方雲集         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","484,654","86,764,928","181.50","182.50","177.00","177.00","-2.50","3,824",
"112/10/03","388,943","68,561,396","178.00","179.00","174.00","176.50","-0.50","3,528",
"112/10/04","404,856","71,848,691","176.50","179.00","175.00","178.50","+2.00","719",
"112/10/05","281,379","49,644,012","179.00","179.00","175.00","176.50","-2.00","5,229",
"112/10/06","230,099","40,145,255","177.00","177.00","173.00","173.50","-3.00","439",
"112/10/11","230,188","40,165,259","175.50","176.00","173.00","174.50","+1.00","342",
"112/10/12","264,903","45,686,277","174.00","174.00","171.50","172.50","-2.00","2,319",
"112/10/13","192,247","33,173,146","172.00","175.00","171.50","172.50"," 0.00","251",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
