"112年10月 1432 大魯閣           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","87,027","1,445,926","16.55","16.75","16.55","16.60","+0.05","134",
"112/10/03","101,762","1,692,646","16.60","16.70","16.60","16.60"," 0.00","106",
"112/10/04","181,954","2,985,543","16.75","16.75","16.30","16.40","-0.20","194",
"112/10/05","255,554","4,177,399","16.40","16.45","16.30","16.35","-0.05","236",
"112/10/06","93,024","1,525,434","16.60","16.60","16.30","16.35"," 0.00","156",
"112/10/11","244,108","3,994,114","16.35","16.45","16.25","16.25","-0.10","202",
"112/10/12","658,561","10,520,727","16.30","16.40","15.70","16.00","-0.25","654",
"112/10/13","194,313","3,072,649","16.00","16.00","15.70","15.90","-0.10","282",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
