"112年10月 5907 大洋-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","90,298","1,124,278","12.60","12.60","12.30","12.45","-0.10","62",
"112/10/03","45,100","565,829","12.60","12.60","12.50","12.50","+0.05","37",
"112/10/04","75,100","928,879","12.45","12.50","12.30","12.50"," 0.00","55",
"112/10/05","70,200","887,270","12.80","12.90","12.55","12.60","+0.10","35",
"112/10/06","153,408","1,908,803","12.60","12.60","12.30","12.45","-0.15","86",
"112/10/11","72,107","898,892","12.40","12.55","12.40","12.45"," 0.00","47",
"112/10/12","86,366","1,078,188","12.35","12.65","12.25","12.55","+0.10","58",
"112/10/13","96,250","1,192,994","12.35","12.50","12.35","12.35","-0.20","65",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
