"112年10月 2412 中華電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","5,201,489","606,125,367","116.50","117.00","116.00","116.50","+0.50","3,654",
"112/10/03","4,217,338","490,162,762","116.50","116.50","116.00","116.00","-0.50","3,643",
"112/10/04","9,114,400","1,053,174,778","116.00","116.00","115.00","115.00","-1.00","6,921",
"112/10/05","8,673,229","999,731,252","115.00","116.00","115.00","115.00"," 0.00","5,866",
"112/10/06","4,870,533","563,050,414","115.50","116.00","115.50","115.50","+0.50","4,119",
"112/10/11","11,058,754","1,284,826,972","116.50","116.50","115.50","116.50","+1.00","6,268",
"112/10/12","6,193,227","720,317,785","117.00","117.00","116.00","116.50"," 0.00","3,769",
"112/10/13","7,305,443","847,567,273","116.00","116.50","115.50","116.00","-0.50","5,113",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
