"112年10月 2450 神腦             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","84,251","3,052,967","36.30","36.35","36.05","36.25","-0.05","89",
"112/10/03","57,366","2,074,489","36.30","36.30","36.05","36.25"," 0.00","51",
"112/10/04","107,864","3,876,122","36.05","36.05","35.85","35.95","-0.30","108",
"112/10/05","53,647","1,930,228","36.00","36.05","35.90","35.90","-0.05","63",
"112/10/06","70,324","2,527,767","35.90","36.10","35.80","36.10","+0.20","71",
"112/10/11","79,387","2,869,990","36.20","36.35","36.00","36.20","+0.10","87",
"112/10/12","127,865","4,633,892","36.20","36.35","36.20","36.35","+0.15","94",
"112/10/13","40,463","1,465,089","36.10","36.25","36.10","36.25","-0.10","47",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
