"112年10月 3380 明泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,677,077","66,256,409","39.45","39.75","39.25","39.65","+0.30","1,209",
"112/10/03","3,784,575","146,978,652","39.70","39.90","38.30","38.30","-1.35","2,524",
"112/10/04","2,495,905","95,951,062","38.00","39.10","37.70","38.35","+0.05","1,632",
"112/10/05","3,131,755","119,664,414","38.95","39.15","37.70","37.75","-0.60","2,289",
"112/10/06","2,381,678","88,968,362","37.95","38.00","37.15","37.40","-0.35","1,728",
"112/10/11","4,247,285","155,946,742","37.70","37.85","36.55","36.55","-0.85","1,730",
"112/10/12","1,706,776","62,387,224","36.80","36.90","36.30","36.60","+0.05","1,363",
"112/10/13","1,809,167","66,639,537","36.80","37.25","36.35","36.60"," 0.00","1,370",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
