"112年10月 3596 智易             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","2,299,613","376,293,866","163.50","165.50","161.00","164.50","+3.00","2,611",
"112/10/03","1,995,833","322,708,759","165.50","165.50","159.50","160.50","-4.00","2,520",
"112/10/04","1,890,179","305,973,969","159.50","163.50","158.50","163.00","+2.50","1,482",
"112/10/05","5,362,105","893,067,740","171.00","171.00","163.00","163.00"," 0.00","4,546",
"112/10/06","2,448,714","403,863,870","164.00","168.50","163.00","164.00","+1.00","4,255",
"112/10/11","3,573,293","590,867,064","166.00","169.00","161.50","163.50","-0.50","2,743",
"112/10/12","1,268,080","208,064,535","164.00","165.00","162.00","165.00","+1.50","2,427",
"112/10/13","2,150,064","356,989,196","166.00","169.00","163.50","164.50","-0.50","1,767",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
