"112年10月 3704 合勤控           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","4,102,938","206,557,012","50.60","50.90","49.60","50.50","+0.50","2,762",
"112/10/03","3,687,256","183,394,834","50.70","50.90","49.00","49.00","-1.50","2,968",
"112/10/04","2,857,445","138,414,587","48.40","49.15","48.20","48.30","-0.70","2,101",
"112/10/05","6,377,563","319,548,960","48.50","50.80","48.50","50.10","+1.80","4,021",
"112/10/06","3,512,085","174,107,719","50.10","50.40","49.10","49.10","-1.00","2,985",
"112/10/11","3,114,534","151,458,542","49.65","49.90","48.00","48.00","-1.10","2,348",
"112/10/12","3,290,599","157,842,264","48.00","48.75","47.60","47.70","-0.30","2,344",
"112/10/13","3,206,495","151,721,232","47.70","48.10","46.90","46.90","-0.80","2,360",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
