"112年10月 4977 眾達-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","2,388,895","201,535,600","83.70","85.20","83.50","83.60","+0.40","1,570",
"112/10/03","5,580,301","473,243,856","83.60","87.40","82.00","82.40","-1.20","4,099",
"112/10/04","3,967,249","317,348,936","82.00","82.10","79.00","79.30","-3.10","3,107",
"112/10/05","5,784,693","482,214,274","80.00","85.30","79.90","84.00","+4.70","4,525",
"112/10/06","2,055,476","172,938,245","84.10","84.90","83.40","84.30","+0.30","1,947",
"112/10/11","2,540,922","208,551,603","85.10","85.20","80.80","81.00","-3.30","2,184",
"112/10/12","2,238,947","181,009,463","79.90","82.00","78.20","81.40","+0.40","1,636",
"112/10/13","2,329,554","194,195,157","81.40","84.70","81.30","83.40","+2.00","2,035",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
