"112年10月 6442 光聖             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","2,681,046","202,258,459","76.80","78.00","73.80","73.80","-2.30","2,013",
"112/10/03","6,930,190","546,365,498","74.10","80.70","73.80","78.50","+4.70","4,792",
"112/10/04","2,682,618","206,870,654","77.90","78.60","75.50","78.50"," 0.00","2,315",
"112/10/05","3,122,610","244,822,198","79.30","80.70","76.60","76.80","-1.70","2,485",
"112/10/06","1,070,815","81,540,289","77.40","77.40","74.50","74.50","-2.30","886",
"112/10/11","2,028,147","142,104,046","74.50","74.60","67.70","67.70","-6.80","1,532",
"112/10/12","2,382,781","167,128,588","69.00","72.00","68.10","69.80","+2.10","1,799",
"112/10/13","5,905,483","436,331,418","69.40","76.50","68.80","74.30","+4.50","4,467",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
