"112年10月 6674 鋐寶科技         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","16,003","435,732","27.75","27.75","27.00","27.25","-0.50","16",
"112/10/03","10,268","275,853","27.60","27.60","26.65","26.70","-0.55","11",
"112/10/04","5,000","134,150","26.55","26.95","26.55","26.95","+0.25","5",
"112/10/05","2,000","54,050","26.90","27.15","26.90","27.15","+0.20","2",
"112/10/06","8,000","217,750","27.10","27.75","27.00","27.00","-0.15","7",
"112/10/11","10,002","272,904","27.95","27.95","26.70","27.00"," 0.00","12",
"112/10/12","4,000","108,800","27.05","27.35","27.05","27.20","+0.20","4",
"112/10/13","5,045","135,969","26.75","27.05","26.75","27.05","-0.15","6",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
