"112年10月 1904 正隆             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,446,139","41,131,115","28.65","28.80","28.35","28.40","-0.25","1,045",
"112/10/03","1,280,309","36,658,632","28.40","28.95","28.40","28.55","+0.15","844",
"112/10/04","894,470","25,377,719","28.40","28.50","28.25","28.40","-0.15","671",
"112/10/05","544,770","15,491,946","28.40","28.55","28.35","28.45","+0.05","732",
"112/10/06","1,465,903","41,991,371","28.45","28.75","28.30","28.75","+0.30","900",
"112/10/11","1,984,028","56,247,045","28.60","28.60","28.20","28.35","-0.40","1,329",
"112/10/12","1,009,944","28,611,581","28.45","28.45","28.20","28.40","+0.05","864",
"112/10/13","2,658,805","76,426,073","28.55","29.25","28.35","28.50","+0.10","1,833",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
