"112年10月 1907 永豐餘           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","2,377,582","76,971,051","32.95","33.00","32.05","32.40","-0.15","2,055",
"112/10/03","4,154,694","136,692,718","32.40","33.60","32.40","32.70","+0.30","2,671",
"112/10/04","1,418,576","45,405,684","32.25","32.35","31.85","31.90","-0.80","1,149",
"112/10/05","1,129,397","36,009,646","31.85","32.30","31.70","31.85","-0.05","840",
"112/10/06","2,254,058","73,493,461","31.75","33.00","31.75","32.80","+0.95","1,260",
"112/10/11","4,091,619","129,056,885","32.65","32.65","31.05","31.55","-1.25","2,934",
"112/10/12","2,482,470","77,772,831","31.80","31.80","30.90","31.70","+0.15","1,739",
"112/10/13","3,320,664","105,615,434","31.65","32.50","31.30","31.35","-0.35","1,994",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
