"112年10月 6790 永豐實           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","70,193","2,709,727","38.60","38.80","38.40","38.70","+0.10","75",
"112/10/03","61,886","2,391,880","38.70","38.75","38.45","38.65","-0.05","70",
"112/10/04","103,817","3,979,139","38.45","38.45","38.25","38.35","-0.30","100",
"112/10/05","69,572","2,671,459","38.40","38.50","38.30","38.40","+0.05","47",
"112/10/06","157,401","6,019,948","38.40","38.40","38.10","38.20","-0.20","126",
"112/10/11","272,633","10,359,082","38.20","38.35","37.85","37.90","-0.30","212",
"112/10/12","56,957","2,174,047","38.00","38.30","38.00","38.15","+0.25","58",
"112/10/13","98,422","3,749,683","38.10","38.20","38.05","38.05","-0.10","126",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
