"112年10月 2850 新產             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","170,224","10,296,343","60.70","60.80","60.10","60.70","+0.30","172",
"112/10/03","134,704","8,130,766","60.80","60.80","60.10","60.20","-0.50","98",
"112/10/04","401,241","24,088,523","60.50","60.50","59.80","59.80","-0.40","217",
"112/10/05","101,878","6,115,071","60.00","60.20","59.90","60.20","+0.40","90",
"112/10/06","153,451","9,292,725","60.00","61.00","60.00","60.90","+0.70","142",
"112/10/11","223,605","13,673,369","60.90","61.50","60.70","61.50","+0.60","399",
"112/10/12","376,591","23,553,279","61.70","63.30","61.50","62.90","+1.40","440",
"112/10/13","149,916","9,363,479","62.90","62.90","62.30","62.30","-0.60","405",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
