"112年10月 2867 三商壽           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,770,905","9,058,564","5.13","5.14","5.10","5.12"," 0.00","650",
"112/10/03","2,373,495","12,097,210","5.12","5.12","5.09","5.10","-0.02","892",
"112/10/04","4,694,990","23,773,192","5.08","5.09","5.05","5.06","-0.04","1,341",
"112/10/05","2,883,469","14,630,544","5.06","5.09","5.06","5.08","+0.02","774",
"112/10/06","1,781,003","9,061,993","5.08","5.10","5.08","5.08"," 0.00","525",
"112/10/11","3,413,520","17,351,300","5.08","5.12","5.06","5.07","-0.01","831",
"112/10/12","1,686,270","8,579,470","5.07","5.10","5.07","5.08","+0.01","513",
"112/10/13","2,131,742","10,841,579","5.07","5.12","5.06","5.08"," 0.00","625",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
