"112年10月 2897 王道銀行         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","986,296","9,402,759","9.52","9.56","9.51","9.53","+0.02","557",
"112/10/03","1,644,617","15,655,397","9.51","9.57","9.50","9.51","-0.02","731",
"112/10/04","3,698,900","34,761,337","9.48","9.48","9.35","9.36","-0.15","2,081",
"112/10/05","1,487,952","13,995,046","9.46","9.46","9.37","9.41","+0.05","580",
"112/10/06","765,576","7,224,726","9.39","9.47","9.39","9.42","+0.01","319",
"112/10/11","4,759,000","46,108,041","9.50","9.78","9.50","9.74","+0.32","1,813",
"112/10/12","3,631,879","35,663,200","9.80","9.85","9.73","9.84","+0.10","1,241",
"112/10/13","3,732,766","37,645,613","9.79","9.86","9.77","9.81","-0.03","935",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
