"112年10月 6005 群益證           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,495,499","21,914,934","14.65","14.70","14.60","14.65","+0.05","692",
"112/10/03","2,162,926","31,579,681","14.65","14.65","14.55","14.55","-0.10","893",
"112/10/04","5,761,252","82,465,703","14.50","14.50","14.20","14.20","-0.35","2,837",
"112/10/05","857,559","12,332,947","14.35","14.45","14.30","14.40","+0.20","615",
"112/10/06","696,034","10,044,276","14.40","14.45","14.35","14.45","+0.05","490",
"112/10/11","6,596,803","95,702,225","14.45","14.60","14.40","14.60","+0.15","2,085",
"112/10/12","3,651,004","53,175,327","14.60","14.60","14.50","14.60"," 0.00","1,472",
"112/10/13","2,120,081","30,832,392","14.50","14.65","14.50","14.60"," 0.00","887",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
