"112年10月 2008 高興昌           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","19,037","388,418","20.40","20.50","20.40","20.40"," 0.00","22",
"112/10/03","62,299","1,257,313","20.20","20.35","20.15","20.15","-0.25","25",
"112/10/04","66,594","1,337,562","20.15","20.30","19.90","20.30","+0.15","32",
"112/10/05","1,402","28,629","20.45","20.45","20.45","20.45","+0.15","6",
"112/10/06","21,825","444,534","20.40","20.45","20.15","20.45"," 0.00","22",
"112/10/11","62,966","1,282,043","20.45","20.90","19.90","20.40","-0.05","27",
"112/10/12","30,001","614,718","20.40","20.60","20.40","20.60","+0.20","12",
"112/10/13","5,499","111,297","20.30","20.40","20.30","20.40","-0.20","9",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
