"112年10月 2029 盛餘             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","186,735","4,486,000","24.15","24.20","23.95","24.10"," 0.00","112",
"112/10/03","227,203","5,430,740","24.00","24.05","23.80","24.05","-0.05","120",
"112/10/04","171,353","4,079,272","24.05","24.05","23.70","23.70","-0.35","146",
"112/10/05","127,520","3,039,847","23.80","23.90","23.80","23.80","+0.10","96",
"112/10/06","155,112","3,712,364","23.80","24.10","23.80","23.95","+0.15","104",
"112/10/11","283,311","6,723,283","23.80","23.90","23.60","23.80","-0.15","227",
"112/10/12","110,259","2,626,116","23.60","23.90","23.60","23.90","+0.10","104",
"112/10/13","169,931","4,039,949","23.80","23.80","23.65","23.75","-0.15","125",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
