"112年10月 2030 彰源             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","487,172","8,848,359","18.20","18.25","18.10","18.15","-0.05","276",
"112/10/03","259,412","4,694,601","18.10","18.20","18.05","18.10","-0.05","191",
"112/10/04","672,842","12,001,567","18.00","18.00","17.75","17.80","-0.30","342",
"112/10/05","199,810","3,578,265","17.85","18.05","17.85","17.90","+0.10","168",
"112/10/06","421,621","7,504,464","17.85","17.90","17.75","17.75","-0.15","292",
"112/10/11","686,244","12,166,029","17.75","17.90","17.60","17.70","-0.05","385",
"112/10/12","552,247","9,852,517","17.75","17.95","17.70","17.90","+0.20","299",
"112/10/13","201,318","3,588,962","17.90","17.90","17.75","17.85","-0.05","182",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
