"112年10月 2032 新鋼             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","98,335","1,604,997","16.35","16.35","16.25","16.35","+0.05","74",
"112/10/03","36,054","587,331","16.30","16.35","16.25","16.25","-0.10","38",
"112/10/04","100,627","1,619,565","16.20","16.20","16.00","16.20","-0.05","82",
"112/10/05","81,000","1,322,650","16.30","16.45","16.20","16.35","+0.15","55",
"112/10/06","40,101","651,926","16.15","16.40","16.15","16.40","+0.05","37",
"112/10/11","56,026","914,640","16.40","16.45","16.20","16.40"," 0.00","48",
"112/10/12","50,000","820,900","16.50","16.50","16.30","16.50","+0.10","43",
"112/10/13","59,100","959,400","16.35","16.35","16.20","16.20","-0.30","53",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
