"112年10月 2211 長榮鋼           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","867,558","61,591,990","71.00","71.40","70.40","71.20","+0.20","699",
"112/10/03","873,681","61,742,774","71.20","71.20","70.40","70.70","-0.50","657",
"112/10/04","743,842","52,046,162","70.60","70.60","69.60","70.10","-0.60","762",
"112/10/05","479,585","33,606,152","70.10","70.80","69.80","69.80","-0.30","538",
"112/10/06","403,846","28,444,408","69.80","71.00","69.80","70.60","+0.80","370",
"112/10/11","1,842,613","128,012,957","69.60","70.00","69.00","69.70","-0.90","1,492",
"112/10/12","513,291","35,873,964","70.00","70.30","69.40","70.00","+0.30","474",
"112/10/13","509,336","35,514,761","69.60","70.20","69.50","69.50","-0.50","1,175",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
