"112年10月 1609 大亞             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","31,830,076","1,238,738,520","39.30","39.55","38.55","38.60","+0.15","18,705",
"112/10/03","26,964,934","1,032,308,417","38.65","39.35","37.40","37.75","-0.85","15,750",
"112/10/04","13,631,139","505,004,943","37.30","37.65","36.80","36.85","-0.90","8,017",
"112/10/05","10,734,128","398,951,727","37.25","37.70","36.85","36.90","+0.05","6,154",
"112/10/06","9,186,803","336,134,888","37.00","37.15","36.35","36.40","-0.50","5,360",
"112/10/11","11,791,580","422,263,119","36.75","36.75","35.35","35.35","-1.05","6,523",
"112/10/12","7,390,902","262,387,760","35.50","35.75","35.20","35.50","+0.15","4,409",
"112/10/13","7,117,815","250,486,938","35.50","35.60","34.95","34.95","-0.55","4,521",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
