"112年10月 1614 三洋電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","12,000","452,550","37.70","37.80","37.60","37.75","+0.15","11",
"112/10/03","23,002","862,874","37.50","37.55","37.50","37.55","-0.20","16",
"112/10/04","26,113","973,446","37.45","37.50","37.15","37.30","-0.25","23",
"112/10/05","36,529","1,371,678","37.80","37.80","37.45","37.80","+0.50","26",
"112/10/06","21,414","807,001","37.85","37.95","37.50","37.75","-0.05","23",
"112/10/11","24,199","909,038","37.70","37.75","37.50","37.65","-0.10","49",
"112/10/12","34,000","1,286,500","37.85","38.25","37.55","38.15","+0.50","29",
"112/10/13","30,149","1,137,451","37.60","38.15","37.60","37.75","-0.40","27",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
