"112年10月 5283 禾聯碩           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","52,616","5,767,375","110.00","110.00","109.00","110.00"," 0.00","75",
"112/10/03","71,703","7,833,106","110.00","110.00","109.00","109.00","-1.00","121",
"112/10/04","54,658","5,949,898","109.50","109.50","108.50","108.50","-0.50","124",
"112/10/05","84,338","9,148,300","108.50","109.00","108.00","109.00","+0.50","141",
"112/10/06","49,920","5,429,870","108.50","109.00","108.50","108.50","-0.50","86",
"112/10/11","56,019","6,083,064","109.00","109.00","108.00","108.50"," 0.00","96",
"112/10/12","82,483","8,929,587","108.50","109.00","108.00","109.00","+0.50","108",
"112/10/13","34,438","3,738,272","108.50","109.00","108.00","108.50","-0.50","65",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
