"112年10月 2430 燦坤             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","22,423","879,931","39.25","39.30","39.20","39.20","-0.05","68",
"112/10/03","25,454","998,573","39.25","39.30","39.20","39.20"," 0.00","63",
"112/10/04","87,583","3,411,399","39.10","39.10","38.80","38.85","-0.35","174",
"112/10/05","69,477","2,701,611","38.90","38.95","38.85","38.85"," 0.00","97",
"112/10/06","48,369","1,882,118","38.95","39.00","38.85","38.85"," 0.00","70",
"112/10/11","73,881","2,858,340","38.85","38.95","38.55","38.70","-0.15","100",
"112/10/12","110,834","4,277,857","38.70","38.70","38.50","38.60","-0.10","99",
"112/10/13","71,204","2,744,892","38.70","38.80","38.45","38.60"," 0.00","84",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
