"112年10月 6776 展碁國際         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","106,056","5,701,522","53.40","54.20","53.40","54.00","+0.80","100",
"112/10/03","81,532","4,375,574","53.80","54.00","53.30","53.40","-0.60","77",
"112/10/04","75,185","3,982,336","53.10","53.30","52.60","53.10","-0.30","78",
"112/10/05","11,773","631,459","53.10","53.80","53.10","53.60","+0.50","28",
"112/10/06","39,176","2,111,775","53.60","54.10","53.60","53.70","+0.10","54",
"112/10/11","72,940","3,919,300","53.70","54.30","53.10","53.10","-0.60","69",
"112/10/12","24,296","1,300,541","53.30","53.70","53.30","53.60","+0.50","36",
"112/10/13","22,765","1,220,732","53.50","53.80","53.50","53.60"," 0.00","36",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
