"112年10月 2367 燿華             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","20,214,765","400,019,420","19.20","20.10","19.20","19.95","+1.00","8,507",
"112/10/03","10,114,536","195,864,137","19.70","19.75","19.05","19.05","-0.90","4,929",
"112/10/04","6,861,502","128,421,331","18.90","18.95","18.60","18.75","-0.30","3,190",
"112/10/05","5,198,790","98,637,413","18.90","19.15","18.80","18.85","+0.10","2,457",
"112/10/06","4,074,258","76,305,739","18.90","19.00","18.65","18.70","-0.15","2,018",
"112/10/11","8,780,749","160,564,541","18.65","18.75","18.10","18.20","-0.50","3,258",
"112/10/12","3,265,829","60,587,875","18.45","18.65","18.40","18.60","+0.40","1,656",
"112/10/13","2,736,074","50,828,609","18.50","18.80","18.40","18.55","-0.05","1,300",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
