"112年10月 2385 群光             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,745,994","202,978,118","116.00","117.00","115.00","117.00","+1.50","1,632",
"112/10/03","1,486,658","171,802,334","116.00","116.50","115.00","115.00","-2.00","1,328",
"112/10/04","2,678,887","309,238,900","114.00","117.00","113.50","116.50","+1.50","1,850",
"112/10/05","1,281,470","149,133,874","117.00","117.50","115.50","116.00","-0.50","1,102",
"112/10/06","1,957,977","229,426,667","116.50","118.00","116.50","117.00","+1.00","1,487",
"112/10/11","4,474,451","537,080,052","119.00","122.50","117.50","121.50","+4.50","3,044",
"112/10/12","1,342,953","163,584,983","121.50","122.50","120.50","122.00","+0.50","1,243",
"112/10/13","3,080,652","381,035,292","121.00","126.00","120.50","123.00","+1.00","2,216",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
