"112年10月 2420 新巨             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","294,997","13,550,291","45.95","46.10","45.80","45.95","+0.05","273",
"112/10/03","222,068","10,190,049","45.95","46.20","45.65","45.95"," 0.00","217",
"112/10/04","379,477","17,118,156","45.60","45.60","44.80","45.00","-0.95","372",
"112/10/05","130,469","5,922,228","45.00","45.55","45.00","45.40","+0.40","170",
"112/10/06","397,887","17,665,042","45.50","45.70","45.35","45.50","+0.10","223",
"112/10/11","964,786","45,029,371","45.50","47.50","45.50","46.95","+1.45","763",
"112/10/12","423,569","20,036,581","46.95","47.70","46.95","47.40","+0.45","392",
"112/10/13","475,365","22,762,132","47.15","48.30","47.15","47.40"," 0.00","418",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
