"112年10月 2431 聯昌             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","165,243","1,843,416","11.30","11.30","11.05","11.10","-0.10","159",
"112/10/03","55,101","611,065","11.20","11.20","11.05","11.05","-0.05","27",
"112/10/04","231,539","2,588,605","11.05","11.30","11.00","11.25","+0.20","106",
"112/10/05","161,458","1,828,593","11.25","11.40","11.25","11.30","+0.05","114",
"112/10/06","48,122","543,374","11.25","11.30","11.25","11.30"," 0.00","41",
"112/10/11","108,799","1,209,502","11.15","11.30","11.05","11.10","-0.20","91",
"112/10/12","65,101","722,310","11.10","11.15","11.05","11.10"," 0.00","50",
"112/10/13","53,218","590,515","11.20","11.25","11.05","11.05","-0.05","42",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
