"112年10月 2492 華新科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","1,107,425","114,747,998","103.50","104.50","103.00","103.50","+1.00","874",
"112/10/03","1,493,563","150,982,783","103.00","103.00","100.50","100.50","-3.00","1,429",
"112/10/04","1,647,260","163,607,294","99.60","100.00","98.80","99.30","-1.20","1,504",
"112/10/05","1,052,163","105,439,330","99.50","101.00","99.50","100.00","+0.70","904",
"112/10/06","728,067","72,817,614","100.50","100.50","99.70","99.90","-0.10","810",
"112/10/11","2,187,901","221,816,043","101.50","102.50","100.00","102.00","+2.10","1,597",
"112/10/12","5,811,815","617,258,833","102.50","108.00","102.00","108.00","+6.00","4,311",
"112/10/13","3,949,650","422,407,727","106.50","108.50","105.50","108.00"," 0.00","2,585",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
