"112年10月 3026 禾伸堂           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","104,376","10,219,685","98.50","98.50","97.60","98.20","+0.30","144",
"112/10/03","70,899","6,946,433","98.00","98.50","97.30","98.50","+0.30","116",
"112/10/04","164,775","16,051,327","98.40","98.40","97.10","98.20","-0.30","215",
"112/10/05","63,898","6,246,489","97.90","98.00","97.60","97.60","-0.60","96",
"112/10/06","43,579","4,244,044","97.30","97.50","97.30","97.30","-0.30","77",
"112/10/11","196,738","19,032,827","97.30","97.50","96.00","96.40","-0.90","277",
"112/10/12","134,871","13,042,605","96.40","96.90","96.20","96.90","+0.50","179",
"112/10/13","110,080","10,657,815","96.40","97.50","96.40","97.00","+0.10","106",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
