"112年10月 3044 健鼎             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","12,038,577","2,500,490,867","200.00","211.50","199.50","211.50","+19.00","7,567",
"112/10/03","11,004,637","2,305,978,161","211.50","213.50","206.00","206.50","-5.00","8,118",
"112/10/04","5,492,385","1,127,323,557","204.00","207.50","202.50","206.50"," 0.00","4,044",
"112/10/05","10,072,332","2,028,845,500","206.50","207.00","198.50","199.50","-7.00","7,628",
"112/10/06","5,113,184","1,012,276,772","201.50","202.00","195.00","195.50","-4.00","4,291",
"112/10/11","7,892,545","1,540,854,734","199.00","199.50","191.50","193.00","-2.50","5,911",
"112/10/12","4,536,855","877,106,264","196.00","197.00","190.00","193.50","+0.50","3,591",
"112/10/13","7,259,315","1,371,823,156","195.00","195.00","186.50","187.00","-6.50","5,847",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
