"112年10月 3092 鴻碩             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","565,001","21,330,895","37.60","38.10","37.35","38.00","+0.80","430",
"112/10/03","547,471","20,825,241","38.00","38.40","37.75","37.75","-0.25","503",
"112/10/04","391,551","14,538,140","37.70","37.70","36.85","37.05","-0.70","386",
"112/10/05","769,910","29,319,997","37.10","38.50","37.10","37.80","+0.75","573",
"112/10/06","215,729","8,173,630","38.00","38.20","37.70","37.75","-0.05","290",
"112/10/11","559,758","20,756,091","38.20","38.20","36.70","36.70","-1.05","424",
"112/10/12","389,316","14,327,741","37.00","37.10","36.35","37.10","+0.40","260",
"112/10/13","210,223","7,804,260","37.00","37.40","36.90","36.95","-0.15","186",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
