"112年10月 3296 勝德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","275,339","4,437,662","16.20","16.20","16.00","16.20","+0.10","254",
"112/10/03","358,042","5,684,361","16.20","16.20","15.75","15.75","-0.45","240",
"112/10/04","479,107","7,523,321","15.85","15.95","15.50","15.95","+0.20","319",
"112/10/05","303,176","4,821,307","16.00","16.00","15.85","15.95"," 0.00","179",
"112/10/06","215,283","3,410,275","15.95","16.00","15.75","15.90","-0.05","153",
"112/10/11","299,814","4,685,819","15.90","15.90","15.50","15.50","-0.40","227",
"112/10/12","200,599","3,144,598","15.60","15.80","15.55","15.70","+0.20","146",
"112/10/13","490,003","7,655,667","15.75","15.80","15.50","15.75","+0.05","246",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
