"112年10月 3321 同泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","113,603","1,935,921","16.65","17.40","16.60","17.20","+0.70","157",
"112/10/03","71,592","1,239,642","17.15","17.65","17.10","17.10","-0.10","91",
"112/10/04","58,882","983,590","17.00","17.00","16.55","16.75","-0.35","42",
"112/10/05","7,740","129,436","17.30","17.30","16.70","16.70","-0.05","25",
"112/10/06","23,496","384,950","16.30","16.85","16.20","16.20","-0.50","47",
"112/10/11","18,399","299,337","16.25","16.80","16.15","16.15","-0.05","32",
"112/10/12","32,631","523,808","16.05","16.30","16.00","16.30","+0.15","49",
"112/10/13","22,496","358,816","16.20","16.40","15.85","16.00","-0.30","25",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
