"112年10月 3376 新日興           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","482,748","39,033,013","80.30","81.30","80.30","80.80","+0.60","428",
"112/10/03","605,107","48,533,244","80.40","81.10","79.80","80.40","-0.40","586",
"112/10/04","767,408","61,293,134","79.80","80.50","79.60","80.40"," 0.00","714",
"112/10/05","859,055","69,186,313","81.20","81.30","80.20","80.50","+0.10","783",
"112/10/06","600,882","48,994,733","80.90","82.20","80.60","81.50","+1.00","499",
"112/10/11","1,158,480","96,204,672","82.70","84.00","82.30","83.40","+1.90","947",
"112/10/12","972,812","80,283,160","83.40","83.40","82.00","83.00","-0.40","852",
"112/10/13","1,234,879","103,572,716","82.60","84.50","82.60","84.20","+1.20","994",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
