"112年10月 4545 銘鈺             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","40,147","1,188,235","29.70","29.95","29.50","29.55","-0.05","41",
"112/10/03","26,103","772,736","29.90","29.90","29.45","29.60","+0.05","28",
"112/10/04","8,026","237,671","29.60","29.70","29.60","29.60"," 0.00","24",
"112/10/05","3,307","97,845","29.45","29.75","29.45","29.75","+0.15","33",
"112/10/06","13,531","399,498","29.75","29.75","29.40","29.45","-0.30","38",
"112/10/11","14,148","421,408","29.40","30.30","29.40","29.70","+0.25","31",
"112/10/12","40,013","1,189,735","29.70","30.00","29.45","30.00","+0.30","38",
"112/10/13","33,027","985,660","29.80","30.00","29.70","30.00"," 0.00","45",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
