"112年10月 4989 榮科             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","585,372","15,566,854","26.00","26.90","26.00","26.70","+1.15","376",
"112/10/03","402,437","10,866,337","26.70","27.40","26.60","26.90","+0.20","307",
"112/10/04","574,018","15,695,665","26.75","28.20","26.25","27.80","+0.90","396",
"112/10/05","498,778","13,886,783","27.85","28.65","27.20","27.20","-0.60","469",
"112/10/06","237,348","6,399,948","27.20","27.25","26.80","26.80","-0.40","165",
"112/10/11","1,429,534","40,635,389","27.30","29.35","27.30","28.35","+1.55","1,094",
"112/10/12","353,972","9,955,158","28.35","28.45","27.60","28.25","-0.10","288",
"112/10/13","187,648","5,254,261","28.10","28.45","27.80","27.85","-0.40","160",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
