"112年10月 6133 金橋             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","125,670","1,794,508","14.15","14.35","14.15","14.30","+0.20","96",
"112/10/03","185,795","2,628,077","14.30","14.30","14.05","14.05","-0.25","121",
"112/10/04","200,674","2,779,366","14.00","14.00","13.80","13.80","-0.25","148",
"112/10/05","83,346","1,167,060","14.15","14.15","13.90","13.90","+0.10","76",
"112/10/06","139,109","1,947,473","13.90","14.20","13.90","13.90"," 0.00","124",
"112/10/11","203,096","2,778,270","13.90","13.90","13.50","13.50","-0.40","163",
"112/10/12","117,268","1,598,203","13.60","13.75","13.50","13.60","+0.10","84",
"112/10/13","96,177","1,306,146","13.50","13.70","13.50","13.55","-0.05","96",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
