"112年10月 6191 精成科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","8,591,985","549,306,632","62.60","64.60","62.60","64.60","+2.60","5,781",
"112/10/03","6,862,302","437,055,780","65.50","65.50","63.00","63.10","-1.50","5,526",
"112/10/04","3,962,675","246,691,383","61.80","62.80","61.30","62.70","-0.40","2,893",
"112/10/05","3,506,720","218,625,201","63.10","63.40","61.70","61.90","-0.80","2,535",
"112/10/06","10,603,150","628,551,570","61.30","61.90","57.70","57.80","-4.10","7,667",
"112/10/11","5,671,398","326,550,926","58.40","58.90","56.80","57.40","-0.40","4,087",
"112/10/12","2,070,509","120,009,485","57.80","58.30","57.70","58.00","+0.60","1,674",
"112/10/13","3,696,447","210,207,642","58.00","58.00","56.30","56.60","-1.40","2,743",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
