"112年10月 6213 聯茂             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","14,576,843","1,368,760,609","92.20","95.30","92.00","94.20","+3.00","10,075",
"112/10/03","13,909,862","1,329,149,309","93.80","97.60","93.30","94.40","+0.20","10,381",
"112/10/04","5,843,149","546,512,832","93.30","94.40","92.60","93.90","-0.50","5,002",
"112/10/05","8,121,969","772,862,481","94.90","96.40","93.80","94.80","+0.90","5,908",
"112/10/06","7,672,495","734,849,508","95.50","96.90","94.80","95.10","+0.30","6,528",
"112/10/11","11,766,987","1,136,547,420","98.80","99.20","94.40","94.40","-0.70","9,771",
"112/10/12","3,126,021","297,128,044","96.00","96.30","94.30","94.50","+0.10","3,812",
"112/10/13","7,230,751","663,361,789","94.50","95.20","90.50","90.60","-3.90","6,747",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
