"112年10月 8039 台虹             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","213,326","9,143,526","42.85","43.00","42.70","42.90","+0.25","174",
"112/10/03","211,816","9,066,183","42.90","43.10","42.60","42.70","-0.20","189",
"112/10/04","328,574","13,915,756","42.70","42.70","42.20","42.45","-0.25","262",
"112/10/05","172,968","7,430,606","42.70","43.30","42.60","42.90","+0.45","190",
"112/10/06","208,253","8,893,846","42.65","43.00","42.55","42.95","+0.05","153",
"112/10/11","327,279","13,929,768","43.10","43.10","42.35","42.40","-0.55","278",
"112/10/12","262,641","11,159,545","42.90","42.90","42.35","42.65","+0.25","218",
"112/10/13","204,473","8,740,164","42.50","42.95","42.50","42.85","+0.20","187",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
