"112年10月 8046 南電             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","5,106,549","1,375,279,524","268.00","272.00","267.00","267.50","+1.00","4,502",
"112/10/03","3,405,641","902,858,353","268.00","269.50","262.00","262.00","-5.50","10,841",
"112/10/04","3,614,031","940,041,244","258.00","264.00","255.50","264.00","+2.00","4,136",
"112/10/05","3,017,688","790,075,619","263.50","265.00","260.00","260.50","-3.50","4,178",
"112/10/06","6,164,736","1,571,488,174","260.50","261.00","251.50","251.50","-9.00","6,614",
"112/10/11","5,030,255","1,298,974,135","254.50","260.00","254.50","260.00","+8.50","4,345",
"112/10/12","2,523,887","649,324,000","258.50","259.00","255.50","256.50","-3.50","7,942",
"112/10/13","1,874,766","483,635,588","256.00","260.00","255.50","257.00","+0.50","1,878",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
