"112年10月 8249 菱光             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","133,255","3,901,468","29.20","29.55","29.05","29.20","+0.15","114",
"112/10/03","130,214","3,822,009","29.30","30.00","28.90","29.50","+0.30","101",
"112/10/04","87,372","2,557,968","29.05","29.60","29.05","29.20","-0.30","84",
"112/10/05","33,463","983,391","29.30","29.50","29.25","29.45","+0.25","42",
"112/10/06","50,335","1,476,742","29.55","29.55","29.20","29.25","-0.20","72",
"112/10/11","81,027","2,370,686","29.50","29.50","29.15","29.20","-0.05","68",
"112/10/12","22,042","645,530","29.10","29.40","29.05","29.35","+0.15","32",
"112/10/13","16,029","467,164","29.20","29.30","29.10","29.10","-0.25","31",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
