"112年10月 1504 東元             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","10,857,752","563,756,490","52.30","52.40","51.20","52.10","+0.10","6,168",
"112/10/03","10,230,002","527,992,249","52.00","52.60","51.00","51.00","-1.10","6,424",
"112/10/04","10,975,123","545,852,911","50.30","50.40","49.25","49.60","-1.40","7,636",
"112/10/05","5,078,439","256,071,123","49.85","50.90","49.80","50.60","+1.00","3,238",
"112/10/06","5,595,823","280,404,513","50.90","50.90","49.85","49.90","-0.70","3,433",
"112/10/11","13,474,004","658,340,331","50.00","50.00","48.50","48.50","-1.40","8,299",
"112/10/12","7,954,256","394,921,517","49.25","50.10","49.10","49.80","+1.30","5,027",
"112/10/13","6,445,804","316,560,679","49.90","49.90","48.70","49.10","-0.70","4,841",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
