"112年10月 1528 恩德             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","757,569","9,093,316","11.90","12.05","11.90","12.05","+0.20","371",
"112/10/03","540,344","6,492,657","12.10","12.10","11.95","11.95","-0.10","297",
"112/10/04","375,665","4,457,389","11.85","11.95","11.80","11.85","-0.10","240",
"112/10/05","669,542","8,079,144","11.95","12.15","11.90","12.05","+0.20","340",
"112/10/06","754,699","9,120,919","12.10","12.15","12.00","12.10","+0.05","294",
"112/10/11","1,654,460","19,503,906","12.35","12.35","11.60","11.65","-0.45","831",
"112/10/12","518,152","6,120,648","11.65","11.90","11.65","11.85","+0.20","371",
"112/10/13","480,483","5,647,611","11.85","11.95","11.70","11.70","-0.15","374",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
