"112年10月 1539 巨庭             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","88,101","2,097,903","23.80","23.95","23.75","23.75","+0.15","68",
"112/10/03","40,636","962,004","23.60","23.80","23.60","23.65","-0.10","56",
"112/10/04","55,264","1,295,010","23.50","23.50","23.30","23.50","-0.15","34",
"112/10/05","48,192","1,138,793","23.55","23.75","23.55","23.60","+0.10","33",
"112/10/06","33,650","794,451","23.65","23.75","23.55","23.65","+0.05","28",
"112/10/11","94,603","2,218,937","23.65","23.65","23.30","23.45","-0.20","101",
"112/10/12","51,107","1,194,510","23.50","23.50","23.25","23.45"," 0.00","42",
"112/10/13","63,559","1,495,480","23.30","23.70","23.20","23.65","+0.20","45",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
